product_id,product_name,category,sub_category,brand,price,cost,color,size_
1,Dolorum Tablet,Electronics,Tablet,Umbrella,14999.7,8767.28,Green,XS
2,Repellat Tool,Automotive,Tool,Acme,22447.03,17763.35,Purple,S
3,Nostrum Bedding,Home & Kitchen,Bedding,Initech,8858.61,7528.57,Purple,XS
4,Laborum Shoes,Fashion,Shoes,Hooli,7111.62,5200.21,Orange,One Size
5,Quod Women's Clothing,Fashion,Women's Clothing,Wayne,5730.73,3609.15,Yellow,M
6,Sint Car Accessory,Automotive,Car Accessory,Umbrella,27955.58,15129.49,Yellow,
7,Officia Part,Automotive,Part,Initech,2399.23,1264.04,White,M
8,Excepturi Part,Automotive,Part,Hooli,28338.2,11956.77,White,XL
9,Id Supplements,Health,Supplements,Stark,4540.13,2736.74,Purple,S
10,Libero Laptop,Electronics,Laptop,Umbrella,37353.42,29111.54,Black,One Size
11,Asperiores Puzzle,Toys,Puzzle,Soylent,1721.02,1373.8,White,M
12,Tempora Medical Device,Health,Medical Device,Soylent,2555.74,1289.99,Purple,
13,Ab Men's Clothing,Fashion,Men's Clothing,Hooli,5953.47,4239.23,Orange,S
14,Reprehenderit Women's Clothing,Fashion,Women's Clothing,Stark,7636.11,3959.41,Yellow,
15,Nulla Men's Clothing,Fashion,Men's Clothing,Umbrella,3231.24,1616.08,Green,
16,Repellat Accessories,Fashion,Accessories,Globex,10871.03,6018.65,White,One Size
17,Eos Comics,Books,Comics,Stark,1183.47,850.17,Green,
18,Veniam Men's Clothing,Fashion,Men's Clothing,Globex,5277.88,3018.48,Blue,S
19,Reprehenderit Part,Automotive,Part,Umbrella,19116.6,8784.37,Orange,One Size
20,Officiis Outdoor,Sports,Outdoor,Initech,9422.32,8252.39,Purple,S
21,Facere Gym Equipment,Sports,Gym Equipment,Globex,3137.48,2413.98,White,L
22,Voluptate Comics,Books,Comics,Stark,1987.95,1223.82,Green,XS
23,Fugiat Part,Automotive,Part,Umbrella,5312.55,4039.99,Orange,One Size
24,Sed Footwear,Sports,Footwear,Stark,9098.57,5093.57,Yellow,M
25,Culpa Apparel,Sports,Apparel,Globex,14025.53,10455.17,Yellow,L
26,Est Non‑Fiction,Books,Non‑Fiction,Acme,536.97,396.91,Blue,XS
27,Nobis Children,Books,Children,Hooli,1794.57,1080.84,White,M
28,Id Women's Clothing,Fashion,Women's Clothing,Initech,13689.81,12124.3,Red,One Size
29,Quod Shoes,Fashion,Shoes,Globex,7322.36,5557.2,Blue,M
30,Quas Footwear,Sports,Footwear,Acme,4446.86,3863.06,Orange,M
31,Sequi Camera,Electronics,Camera,Stark,18073.09,9341.67,Blue,S
32,Dolorem Children,Books,Children,Initech,1336.13,858.51,Blue,XL
33,Veniam Apparel,Sports,Apparel,Initech,4202.04,2422.68,Black,M
34,Incidunt Children,Books,Children,Umbrella,1395.16,1115.53,Yellow,One Size
35,Deserunt Medical Device,Health,Medical Device,Globex,687.4,486.88,Blue,XL
36,Quo Women's Clothing,Fashion,Women's Clothing,Stark,14556.86,6937.88,Green,XS
37,In Accessories,Fashion,Accessories,Umbrella,4367.98,3860.47,Yellow,L
38,Ea Shoes,Fashion,Shoes,Soylent,1069.03,617.78,Red,XL
39,Illo Medical Device,Health,Medical Device,Hooli,4866.35,3445.72,Orange,L
40,Assumenda Tool,Automotive,Tool,Stark,26812.47,13369.99,Blue,XL
41,Veritatis Camera,Electronics,Camera,Hooli,20454.1,10012.76,Purple,
42,Officia Appliance,Home & Kitchen,Appliance,Acme,14281.24,6611.72,Orange,XS
43,Eveniet Mobile,Electronics,Mobile,Soylent,39002.94,32607.81,Blue,XS
44,Optio Fiction,Books,Fiction,Initech,1204.09,697.46,Purple,
45,Eligendi Plush,Toys,Plush,Umbrella,2398.01,1293.06,Yellow,S
46,Illo Accessories,Fashion,Accessories,Globex,6476.72,3294.16,Red,XS
47,Tempora Footwear,Sports,Footwear,Stark,11568.94,10084.36,Red,
48,Repellendus Personal Care,Health,Personal Care,Globex,3980.75,3093.49,White,XS
49,Necessitatibus Gym Equipment,Sports,Gym Equipment,Hooli,14803.55,11386.34,Red,S
50,Totam Supplements,Health,Supplements,Hooli,3724.74,2643.71,White,L
51,Laborum Women's Clothing,Fashion,Women's Clothing,Wayne,11751.28,10255.16,Blue,One Size
52,Blanditiis Footwear,Sports,Footwear,Hooli,948.75,609.06,Black,S
53,Esse Children,Books,Children,Wayne,1621.26,789.15,Blue,One Size
54,Deleniti Tool,Automotive,Tool,Hooli,28954.85,20511.44,Black,S
55,Magni Supplements,Health,Supplements,Soylent,4949.04,4010.21,Yellow,M
56,Similique Tool,Automotive,Tool,Hooli,16262.44,13416.79,Blue,S
57,Incidunt Personal Care,Health,Personal Care,Umbrella,1333.89,1039.49,Orange,L
58,Ea Cookware,Home & Kitchen,Cookware,Stark,12563.56,5464.75,Gray,One Size
59,Voluptatibus Personal Care,Health,Personal Care,Soylent,3176.67,2763.12,Green,M
60,Incidunt Furniture,Home & Kitchen,Furniture,Wayne,7781.62,5976.48,Blue,XL
61,At Action Figure,Toys,Action Figure,Umbrella,794.06,542.15,Red,S
62,Inventore Supplements,Health,Supplements,Stark,3497.2,2956.92,Blue,XL
63,Ex Tool,Automotive,Tool,Hooli,28188.02,24347.98,Green,XL
64,Facilis Fiction,Books,Fiction,Soylent,1998.44,830.69,Green,
65,Veritatis Supplements,Health,Supplements,Stark,2371.12,1093.95,Yellow,XL
66,Fuga Comics,Books,Comics,Stark,1427.7,823.19,Orange,XL
67,Hic Gym Equipment,Sports,Gym Equipment,Globex,558.36,434.42,Purple,M
68,Occaecati Footwear,Sports,Footwear,Acme,6687.25,5713.61,Green,One Size
69,Id Tablet,Electronics,Tablet,Initech,38817.45,29396.3,White,
70,Beatae Plush,Toys,Plush,Wayne,1523.05,989.73,Gray,L
71,Esse Tablet,Electronics,Tablet,Soylent,26562.06,19816.33,Blue,One Size
72,Quos Accessories,Fashion,Accessories,Initech,7546.27,6673.7,Orange,S
73,Nisi Supplements,Health,Supplements,Acme,1139.05,920.55,Black,L
74,Incidunt Apparel,Sports,Apparel,Umbrella,19078.88,10494.52,Red,XS
75,Ipsa Non‑Fiction,Books,Non‑Fiction,Globex,1245.81,727.84,Orange,M
76,Dolorem Fiction,Books,Fiction,Hooli,195.7,155.07,Red,One Size
77,Alias Gym Equipment,Sports,Gym Equipment,Hooli,8568.14,6865.98,Black,L
78,Omnis Children,Books,Children,Hooli,1474.68,974.92,Gray,XL
79,Error Plush,Toys,Plush,Stark,1193.95,771.79,Orange,XL
80,Ab Mobile,Electronics,Mobile,Umbrella,25464.56,14491.98,Red,XS
81,Minus Part,Automotive,Part,Globex,10478.28,4944.99,Purple,S
82,Corporis Mobile,Electronics,Mobile,Stark,24735.56,19169.95,Green,
83,Ex Mobile,Electronics,Mobile,Umbrella,17171.71,13650.48,Yellow,L
84,Exercitationem Plush,Toys,Plush,Hooli,240.58,205.47,Blue,S
85,Eaque Children,Books,Children,Initech,908.4,675.53,Green,
86,Nulla Bedding,Home & Kitchen,Bedding,Umbrella,8729.4,7628.01,Purple,S
87,Assumenda Car Accessory,Automotive,Car Accessory,Wayne,9478.75,4207.47,Black,XL
88,Distinctio Appliance,Home & Kitchen,Appliance,Wayne,1211.32,661.37,White,XL
89,Expedita Puzzle,Toys,Puzzle,Wayne,1517.01,894.25,Red,XL
90,Quaerat Non‑Fiction,Books,Non‑Fiction,Acme,977.52,562.57,Black,XL
91,Libero Laptop,Electronics,Laptop,Wayne,16775.68,8834.37,Black,One Size
92,Placeat Bedding,Home & Kitchen,Bedding,Hooli,2614.68,1237.87,Yellow,XL
93,Repellat Children,Books,Children,Globex,1388.08,744.29,Green,
94,Nisi Footwear,Sports,Footwear,Soylent,19967.12,10388.54,Gray,S
95,Optio Supplements,Health,Supplements,Soylent,1561.81,812.48,Green,M
96,Inventore Part,Automotive,Part,Soylent,2117.89,1318.93,Purple,L
97,Voluptatem Tablet,Electronics,Tablet,Stark,7898.86,6626.0,Green,L
98,Qui Non‑Fiction,Books,Non‑Fiction,Globex,452.26,284.88,Black,XL
99,Distinctio Shoes,Fashion,Shoes,Hooli,11764.74,8058.6,Orange,XL
100,Saepe Tool,Automotive,Tool,Initech,9334.89,7111.57,Purple,XL
101,Ipsa Appliance,Home & Kitchen,Appliance,Umbrella,14495.57,9828.45,Black,XS
102,Maiores Fiction,Books,Fiction,Initech,1176.81,614.9,Red,M
103,Voluptates Furniture,Home & Kitchen,Furniture,Umbrella,9927.98,7222.56,Gray,XL
104,Porro Bedding,Home & Kitchen,Bedding,Hooli,2285.82,1913.4,White,S
105,Sed Men's Clothing,Fashion,Men's Clothing,Stark,13998.96,5760.82,Yellow,L
106,Assumenda Action Figure,Toys,Action Figure,Initech,916.3,788.22,Red,S
107,Iste Plush,Toys,Plush,Stark,102.89,66.39,Purple,XS
108,Quasi Outdoor,Sports,Outdoor,Initech,5365.26,3437.5,Yellow,One Size
109,Repellendus Men's Clothing,Fashion,Men's Clothing,Stark,4115.12,3287.81,White,S
110,Aliquid Tool,Automotive,Tool,Soylent,8497.08,5829.14,White,L
111,Eius Footwear,Sports,Footwear,Umbrella,15985.24,13871.04,Red,
112,Eius Tablet,Electronics,Tablet,Umbrella,16602.46,11055.27,White,One Size
113,Voluptatem Cookware,Home & Kitchen,Cookware,Soylent,4395.96,3095.38,Green,One Size
114,Numquam Medical Device,Health,Medical Device,Globex,4165.37,1900.29,Blue,XL
115,Ipsam Appliance,Home & Kitchen,Appliance,Wayne,6232.13,3946.19,Blue,
116,Aliquid Action Figure,Toys,Action Figure,Wayne,1243.45,634.9,Purple,L
117,Earum Supplements,Health,Supplements,Globex,2706.39,2395.78,Yellow,S
118,Culpa Fiction,Books,Fiction,Globex,1702.99,1291.3,Green,L
119,Minima Shoes,Fashion,Shoes,Wayne,6936.53,4305.87,Orange,L
120,Asperiores Shoes,Fashion,Shoes,Umbrella,4438.33,2145.93,Yellow,XL
121,Pariatur Camera,Electronics,Camera,Hooli,25043.61,19938.84,Yellow,L
122,Facilis Gym Equipment,Sports,Gym Equipment,Globex,4917.31,3655.04,White,L
123,Nesciunt Plush,Toys,Plush,Initech,1712.49,1433.46,Orange,
124,Rem Supplements,Health,Supplements,Wayne,4152.31,2508.21,Red,M
125,Corporis Part,Automotive,Part,Globex,23526.8,16948.48,Black,XS
126,Sapiente Outdoor,Sports,Outdoor,Initech,602.56,266.23,Orange,XS
127,Deserunt Car Accessory,Automotive,Car Accessory,Soylent,23845.11,12024.45,Yellow,
128,Optio Action Figure,Toys,Action Figure,Initech,1889.3,1452.61,Black,XS
129,Incidunt Women's Clothing,Fashion,Women's Clothing,Wayne,5425.33,4104.25,Blue,XS
130,Repellat Medical Device,Health,Medical Device,Umbrella,2252.74,1237.31,White,XL
131,Fugiat Women's Clothing,Fashion,Women's Clothing,Soylent,12766.88,5914.66,Purple,L
132,Explicabo Shoes,Fashion,Shoes,Wayne,5903.86,4730.84,Black,L
133,Labore Part,Automotive,Part,Umbrella,16044.64,11090.81,Purple,XS
134,Assumenda Puzzle,Toys,Puzzle,Globex,1730.82,1087.03,Gray,One Size
135,Dolore Board Game,Toys,Board Game,Globex,1383.02,751.39,Blue,M
136,Expedita Part,Automotive,Part,Globex,17736.44,9268.89,Yellow,XL
137,Provident Accessories,Fashion,Accessories,Umbrella,1432.47,1140.34,Blue,M
138,Magnam Furniture,Home & Kitchen,Furniture,Stark,12077.97,4901.29,Red,M
139,Aliquid Part,Automotive,Part,Initech,8834.84,5246.55,Green,M
140,Repellat Tablet,Electronics,Tablet,Globex,33901.72,14724.44,Red,S
141,Quo Car Accessory,Automotive,Car Accessory,Acme,1546.81,741.65,Gray,
142,Porro Women's Clothing,Fashion,Women's Clothing,Umbrella,6105.58,2677.69,Gray,L
143,Asperiores Shoes,Fashion,Shoes,Acme,8563.51,4206.31,Blue,XL
144,Fugiat Car Accessory,Automotive,Car Accessory,Stark,28850.63,16116.8,Red,XL
145,Illum Mobile,Electronics,Mobile,Initech,13436.62,11411.16,Orange,
146,Culpa Part,Automotive,Part,Umbrella,14779.61,9604.99,Purple,One Size
147,Impedit Apparel,Sports,Apparel,Wayne,12175.32,5316.38,Yellow,One Size
148,Ab Board Game,Toys,Board Game,Soylent,725.15,618.61,Blue,XL
149,Reprehenderit Shoes,Fashion,Shoes,Acme,7448.83,5912.12,Blue,
150,Non Action Figure,Toys,Action Figure,Wayne,2048.07,973.11,Red,XS
151,Omnis Personal Care,Health,Personal Care,Hooli,1751.61,1089.81,Red,
152,Quia Cookware,Home & Kitchen,Cookware,Initech,8737.7,4423.66,Purple,L
