store_id,store_name,city,state,region,store_type
1,"Ramakrishnan, Majumdar and Aurora Market",Siliguri,Goa,West,Outlet
2,Shukla and Sons Store,Arrah,Maharashtra,West,Outlet
3,Viswanathan-Kar Store,Singrauli,Karnataka,South,Online
4,Varkey Inc Market,Udupi,Jharkhand,East,Outlet
5,Bhakta-Rama Outlet,Nagpur,Jammu & Kashmir,North,Mall
6,Ramachandran Ltd Shop,Kavali,Andhra Pradesh,South,Mall
7,Chauhan and Sons Store,Salem,Rajasthan,North,Flagship
8,"Bobal, Khalsa and Solanki Shop",Katihar,Bihar,East,Outlet
9,"Chana, Lal and Iyer Shop",Dehradun,Kerala,South,Outlet
10,"Bera, Mall and Jha Outlet",Bijapur,Punjab,North,Online
11,Dube and Sons Shop,Darbhanga,Kerala,South,Pop‑up
12,Babu Inc Store,Dharmavaram,Maharashtra,West,Mall
13,Sachar-Ravel Outlet,Medininagar,Tamil Nadu,South,Mall
14,Kaul PLC Store,Latur,Uttar Pradesh,Central,Mall
15,Rege Inc Store,Ramgarh,Uttar Pradesh,North,Mall
16,Sabharwal Inc Store,Tenali,Lakshadweep,South,Mall
17,Shan LLC Shop,Purnia,Goa,West,Online
18,"Chakrabarti, Chakrabarti and Koshy Market",Loni,West Bengal,East,Flagship
19,Kulkarni-Chahal Store,Jehanabad,Madhya Pradesh,West,Outlet
20,"Deol, Sridhar and Sarna Market",Uluberia,Odisha,East,Online
21,Ghosh-Sarma Outlet,Baranagar,Uttar Pradesh,Central,Flagship
22,"Rattan, Chakrabarti and Mahajan Shop",Raichur,Kerala,South,Mall
23,Wagle-Bhagat Shop,Pondicherry,Tamil Nadu,South,Mall
24,"Sehgal, Dubey and Kumer Outlet",Bhavnagar,Gujarat,West,Pop‑up
25,"Handa, Gade and Acharya Store",Proddatur,Lakshadweep,South,Mall
26,Lad-Venkataraman Store,Bikaner,Odisha,East,Online
27,Srivastava PLC Store,Katihar,West Bengal,East,Mall
28,"Lala, Sodhi and Vaidya Outlet",Mahbubnagar,Madhya Pradesh,Central,Flagship
29,Shah LLC Shop,Raipur,Bihar,East,Mall
30,Sabharwal-Ranganathan Market,Srikakulam,Rajasthan,North,Flagship
31,Toor Ltd Market,Sambalpur,West Bengal,East,Outlet
32,"Shanker, Mani and Bail Shop",Delhi,Uttarakhand,North,Flagship
33,Rout-Dara Outlet,Surendranagar Dudhrej,Odisha,East,Pop‑up
34,Vora LLC Market,Jorhat,Chhattisgarh,Central,Outlet
35,Sachdeva-Srivastava Shop,Adoni,Lakshadweep,South,Online
36,Shetty-Chandran Store,Gandhinagar,Tamil Nadu,South,Outlet
37,Kar LLC Shop,Agra,Kerala,South,Online
38,Choudhury-Tripathi Shop,Lucknow,Uttar Pradesh,Central,Mall
39,"Devi, Dani and Yogi Shop",Kollam,Goa,West,Flagship
40,Gara-Rajan Store,Deoghar,Madhya Pradesh,Central,Online
41,De-Reddy Market,Dindigul,Punjab,North,Pop‑up
42,Sood Inc Outlet,Jodhpur,Andhra Pradesh,South,Mall
43,Sarna-Balasubramanian Market,Aizawl,Jharkhand,East,Flagship
44,"Halder, Majumdar and Goyal Outlet",Chittoor,Sikkim,East,Online
45,Som PLC Shop,Shivpuri,Gujarat,West,Flagship
46,Buch and Sons Shop,Phagwara,Madhya Pradesh,Central,Flagship
47,Mahajan-Vohra Shop,Barasat,Uttar Pradesh,Central,Outlet
48,Sharma-Batta Store,Ramgarh,Gujarat,West,Pop‑up
49,Swaminathan Ltd Shop,Ichalkaranji,Uttar Pradesh,Central,Flagship
50,Varkey-Roy Market,Arrah,Madhya Pradesh,Central,Outlet
51,Bhattacharyya-Goswami Store,Bidar,Jharkhand,East,Outlet
